Codice parte Mouser,Codice articolo Mfr,Produttore,Scheda dati,Disponibilità,Prezzi,RoHS,Ciclo di vita,Dettagli sul prodotto,Tipo,Da utilizzarsi con,Intervallo,Precisione,Tensione di uscita,Modalità operativa,Tensione di alimentazione di lavoro,Dimensioni porta,Materiale di alloggiamento
403-SFM3000-200,SFM3000-200,Sensirion,https://www.mouser.it/datasheet/2/682/Sensirion_Mass_Flow_Meters_SFM3000_Datasheet-1511631.pdf,19  In ordine,"=""90,00 €""",A norma RoHS,,https://www.mouser.it/ProductDetail/Sensirion/SFM3000-200?qs=sGAEpiMZZMvQbgrkdfEa0iX4irbgKmO7Tki86oaCimM=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SFM3000-200&utm_content=Sensirion,Low Pressure Drop Digital Flow Meter,Air,200 slm,,,,5 V,22 mm,Plastic
785-AWM730B5,AWM730B5,Honeywell,https://www.mouser.it/datasheet/2/187/honeywell-sensing-airflow-sensors-awm700-series-da-1132345.pdf,42  In ordine,"=""129,70 €""",A norma RoHS,,https://www.mouser.it/ProductDetail/Honeywell/AWM730B5?qs=sGAEpiMZZMt9EC5K82p3ysCwTWcO0c3U&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AWM730B5&utm_content=Honeywell,MEMS Air Flow Sensor,Air,300 L/min,+/- 2 % Full Scale,,,9 V to 15 V,22 mm,-
785-HAFUHH0100L4AXT,HAFUHH0100L4AXT,Honeywell,https://www.mouser.it/datasheet/2/187/honeywell-sensing-zephyr-digital-airflow-10-slpm-3-740283.pdf,30  In ordine,"=""151,77 €""",A norma RoHS,,https://www.mouser.it/ProductDetail/Honeywell/HAFUHH0100L4AXT?qs=sGAEpiMZZMsrChSOYEGTCeaIc5FIW5Om21joavzjVWM=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=HAFUHH0100L4AXT&utm_content=Honeywell,Mass Air Flow Sensor,Air,100 SLPM,3.50%,,Unidirectional,3 V to 10 V,22 mm,Thermoplastic (TP)
785-HAFUHT0100L4AXT,HAFUHT0100L4AXT,Honeywell,https://www.mouser.it/datasheet/2/187/honeywell-sensing-zephyr-digital-airflow-10-slpm-3-740283.pdf,29  In ordine,"=""151,77 €""",A norma RoHS,,https://www.mouser.it/ProductDetail/Honeywell/HAFUHT0100L4AXT?qs=sGAEpiMZZMsrChSOYEGTCXlsrkOHuhZpA/hAZRcRk3M=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=HAFUHT0100L4AXT&utm_content=Honeywell,Mass Air Flow Sensor,Air,100 SLPM,3.50%,,Unidirectional,3 V to 10 V,9.525 mm,Thermoplastic (TP)
785-HAFUHT0300L4AXT,HAFUHT0300L4AXT,Honeywell,https://www.mouser.it/datasheet/2/187/honeywell-sensing-zephyr-digital-airflow-10-slpm-3-740283.pdf,30  In ordine,"=""151,77 €""",A norma RoHS,,https://www.mouser.it/ProductDetail/Honeywell/HAFUHT0300L4AXT?qs=sGAEpiMZZMsrChSOYEGTCTWEtCLoeMP4av5zU5riacQ=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=HAFUHT0300L4AXT&utm_content=Honeywell,Mass Air Flow Sensor,Air,300 SLPM,3.50%,,Unidirectional,3 V to 10 V,9.525 mm,Thermoplastic (TP)
785-HAFUHT0200L4AXT,HAFUHT0200L4AXT,Honeywell,https://www.mouser.it/datasheet/2/187/honeywell-sensing-zephyr-digital-airflow-10-slpm-3-740283.pdf,30  In ordine,"=""151,76 €""",A norma RoHS,,https://www.mouser.it/ProductDetail/Honeywell/HAFUHT0200L4AXT?qs=sGAEpiMZZMt7ElCdtSqFeS2POZqNKF0J&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=HAFUHT0200L4AXT&utm_content=Honeywell,Mass Air Flow Sensor,Air,200 SLPM,3.50%,,Unidirectional,3 V to 10 V,9.525 mm,Polymer
403-SFM3200-AW,SFM3200-AW,Sensirion,https://www.mouser.it/datasheet/2/682/Sensirion_Mass_Flow_Meters_SFM3200-AW_Datasheet-1524538.pdf,30  In ordine,"=""161,28 €""",A norma RoHS,Nuovo prodotto,https://www.mouser.it/ProductDetail/Sensirion/SFM3200-AW?qs=sGAEpiMZZMve4/bfQkoj%2BDFMYoFQ2VezGZBZjwYSdFA=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SFM3200-AW&utm_content=Sensirion,Air Flow Sensor,"Air, Oxygen, Non-Aggressive Gases",- 100 slm to 250 slm,7 %,,Bidirectional,5 V,,Plastic
785-HAFUHH0200L4AXT,HAFUHH0200L4AXT,Honeywell,https://www.mouser.it/datasheet/2/187/honeywell-sensing-zephyr-digital-airflow-10-slpm-3-740283.pdf,"Tempo di consegna, se non a magazzino 23 settimane","=""151,76 €""",A norma RoHS,,https://www.mouser.it/ProductDetail/Honeywell/HAFUHH0200L4AXT?qs=sGAEpiMZZMt7ElCdtSqFeV60VE50yQ82&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=HAFUHH0200L4AXT&utm_content=Honeywell,Mass Air Flow Sensor,Air,200 SLPM,3.50%,,Unidirectional,3 V to 10 V,22 mm,Polymer
785-HAFUHH0300L4AXT,HAFUHH0300L4AXT,Honeywell,https://www.mouser.it/datasheet/2/187/honeywell-sensing-zephyr-digital-airflow-10-slpm-3-740283.pdf,"Tempo di consegna, se non a magazzino 11 settimane","=""151,77 €""",A norma RoHS,,https://www.mouser.it/ProductDetail/Honeywell/HAFUHH0300L4AXT?qs=sGAEpiMZZMsrChSOYEGTCUsDBYyEFXdDHByGWsct9yU=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=HAFUHH0300L4AXT&utm_content=Honeywell,Mass Air Flow Sensor,Air,300 SLPM,3.50%,,Unidirectional,3 V to 10 V,22 mm,Thermoplastic (TP)
403-SFM3100-240-VC,SFM3100-240-VC,Sensirion,https://www.mouser.it/datasheet/2/682/Sensirion_Mass_Flow_Meters_SFM3100_Datasheet_EN-1289230.pdf,Non-Stocked:,"=""174,24 €""",A norma RoHS,,https://www.mouser.it/ProductDetail/Sensirion/SFM3100-240-VC?qs=sGAEpiMZZMve4/bfQkoj%2BE0b83Mb8VOLtiMWRPZRUd4=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SFM3100-240-VC&utm_content=Sensirion,Mass Air Flow Sensor,"Air, Oxygen, Non-Aggressive Gases",- 24 slm to 240 slm,2.50%,2.4 V,Bidirectional,5 V,14 mm,
653-D6F-50A7D-000-0,D6F-50A7D-000-0,Omron Electronics,,Non-Stocked:,"=""164,09 €""",,Nuovo a Mouser,https://www.mouser.it/ProductDetail/Omron-Electronics/D6F-50A7D-000-0?qs=sGAEpiMZZMve4/bfQkoj%2BNdoaL720aQ4h0D3yHq8TfM=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=D6F-50A7D-000-0&utm_content=Omron-Electronics,MEMS Flow Sensor,Air,0 L/min to 50 L/min,+/- 3 % Reading,,,3 V to 3.6 V,18 mm,Polyphenylene Sulfide (PPS)
653-D6F-70AB71D-0000,D6F-70AB71D-000-0,Omron Electronics,https://www.mouser.it/datasheet/2/307/en-d6f_series-1128136.pdf,"Tempo di consegna, se non a magazzino 13 settimane","=""164,09 €""",,Nuovo a Mouser,https://www.mouser.it/ProductDetail/Omron-Electronics/D6F-70AB71D-000-0?qs=sGAEpiMZZMve4/bfQkoj%2BN9lZPqB8Vl/OnutYpuZkOE=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=D6F-70AB71D-000-0&utm_content=Omron-Electronics,MEMS Flow Sensor,Air,0 L/min to 70 L/min,+/- 3 % Reading,,,3 V to 3.6 V,18 mm,Polyphenylene Sulfide (PPS)
785-HAFUHM0100L4AXT,HAFUHM0100L4AXT,Honeywell,https://www.mouser.it/datasheet/2/187/honeywell-sensing-zephyr-digital-airflow-10-slpm-3-740283.pdf,"Tempo di consegna, se non a magazzino 17 settimane","=""151,77 €""",A norma RoHS,,https://www.mouser.it/ProductDetail/Honeywell/HAFUHM0100L4AXT?qs=sGAEpiMZZMsrChSOYEGTCW7KPwyCG4NK8cSokAwWFg4=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=HAFUHM0100L4AXT&utm_content=Honeywell,Mass Air Flow Sensor,Air,100 SLPM,3.50%,,Unidirectional,3 V to 10 V,13 mm,Thermoplastic (TP)
